customer_state,primary_payment_type,num_customers,total_payment_value,pct_of_state_customers
AC,credit_card,60,14187.929999999998,0.7407
AC,boleto,16,3908.4599999999996,0.1975
AC,voucher,3,753.12,0.037
AC,debit_card,2,349.62,0.0247
AL,credit_card,332,79894.41999999995,0.8039
AL,boleto,68,13742.619999999999,0.1646
AL,voucher,8,1635.7899999999997,0.0194
AL,debit_card,5,1226.12,0.0121
AM,credit_card,123,23074.379999999994,0.8311
AM,boleto,21,4452.12,0.1419
AM,debit_card,2,152.01999999999998,0.0135
AM,voucher,2,182.52999999999997,0.0135
AP,credit_card,45,12110.71,0.6618
AP,boleto,20,3826.359999999999,0.2941
AP,voucher,3,237.42000000000002,0.0441
BA,credit_card,2567,496746.59000000096,0.7595
BA,boleto,614,95019.7,0.1817
BA,voucher,146,13821.65,0.0432
BA,debit_card,53,7053.43,0.0157
CE,credit_card,1063,228543.64999999962,0.7957
CE,boleto,205,39728.68999999997,0.1534
CE,voucher,48,6848.749999999999,0.0359
CE,debit_card,20,3073.1900000000005,0.015
DF,credit_card,1666,291463.1800000006,0.7785
DF,boleto,396,52916.90999999998,0.185
DF,voucher,61,7799.99,0.0285
DF,debit_card,17,1661.4100000000003,0.0079
ES,credit_card,1540,248482.07000000007,0.7575
ES,boleto,403,65566.32999999996,0.1982
ES,voucher,63,5830.810000000001,0.031
ES,debit_card,27,4599.82,0.0133
GO,credit_card,1493,268958.60000000003,0.7391
GO,boleto,449,68947.88999999996,0.2223
GO,voucher,56,7232.290000000001,0.0277
GO,debit_card,22,3530.94,0.0109
MA,credit_card,526,108817.60000000011,0.7041
MA,boleto,203,40689.92,0.2718
MA,voucher,14,2011.4900000000002,0.0187
MA,debit_card,4,409.35999999999996,0.0054
MG,credit_card,8835,1466195.5299999984,0.7593
MG,boleto,2304,340518.700000001,0.198
MG,voucher,357,33948.64,0.0307
MG,debit_card,139,22229.399999999994,0.0119
MS,credit_card,508,106469.56999999992,0.7105
MS,boleto,175,27596.789999999994,0.2448
MS,voucher,21,1579.2900000000004,0.0294
MS,debit_card,11,1493.87,0.0154
MT,credit_card,642,144710.00999999998,0.7078
MT,boleto,238,38875.66999999999,0.2624
MT,voucher,21,2201.83,0.0232
MT,debit_card,6,838.9799999999999,0.0066
PA,credit_card,709,165642.50999999992,0.7272
PA,boleto,215,44438.51000000003,0.2205
PA,voucher,36,3674.110000000001,0.0369
PA,debit_card,15,3347.7800000000007,0.0154
PB,credit_card,415,106827.59999999995,0.7743
PB,boleto,93,26424.870000000006,0.1735
PB,voucher,15,2257.47,0.028
PB,debit_card,13,5426.040000000001,0.0243
PE,credit_card,1299,266647.49999999965,0.7863
PE,boleto,277,47887.109999999986,0.1677
PE,voucher,57,5623.090000000002,0.0345
PE,debit_card,19,2877.08,0.0115
PI,credit_card,372,87311.0999999999,0.7515
PI,boleto,94,17424.150000000005,0.1899
PI,voucher,18,1901.3,0.0364
PI,debit_card,11,1231.96,0.0222
PR,credit_card,3683,624002.9300000009,0.73
PR,boleto,1118,155631.78999999992,0.2216
PR,voucher,170,17014.25,0.0337
PR,debit_card,74,10542.240000000002,0.0147
RJ,credit_card,10053,1725810.2799999989,0.7822
RJ,boleto,2163,328621.78000000067,0.1683
RJ,voucher,451,47325.60999999998,0.0351
RJ,debit_card,185,32423.01,0.0144
RN,credit_card,381,81231.5400000001,0.7856
RN,boleto,80,16470.25,0.1649
RN,voucher,15,3105.97,0.0309
RN,debit_card,9,1497.7299999999998,0.0186
RO,credit_card,180,43239.16,0.7115
RO,boleto,64,14810.290000000003,0.253
RO,voucher,6,1859.9500000000003,0.0237
RO,debit_card,3,750.9599999999999,0.0119
RR,credit_card,33,7323.490000000001,0.7174
RR,boleto,13,2741.1299999999997,0.2826
RS,credit_card,3880,660212.3400000002,0.7098
RS,boleto,1359,192327.90999999997,0.2486
RS,voucher,151,19377.360000000008,0.0276
RS,debit_card,76,14455.58,0.0139
SC,credit_card,2653,480027.80000000144,0.7294
SC,boleto,840,114313.97999999997,0.231
SC,voucher,98,18013.07,0.0269
SC,debit_card,46,7596.559999999999,0.0126
SE,credit_card,258,56196.44000000002,0.7371
SE,boleto,75,14587.62,0.2143
SE,voucher,12,2510.34,0.0343
SE,debit_card,5,1617.53,0.0143
SP,credit_card,31429,4660667.839999946,0.7529
SP,boleto,8205,1084604.4400000046,0.1966
SP,voucher,1349,136607.97999999986,0.0323
SP,debit_card,759,88658.51000000013,0.0182
SP,not_defined,3,0.0,0.0001
TO,credit_card,190,45796.64999999997,0.6786
TO,boleto,76,13287.280000000004,0.2714
TO,voucher,10,1353.9500000000003,0.0357
TO,debit_card,4,896.65,0.0143
