customer_state,total_revenue,repeat_revenue,repeat_share
SP,6201661.389999871,0.0,0.0
RO,58681.5,0.0,0.0
PR,828526.159999997,0.0,0.0
RS,929350.2199999959,0.0,0.0
RJ,2236978.1099999924,0.0,0.0
MG,1920938.1400000136,0.0,0.0
RR,10064.62,0.0,0.0
BA,647949.8200000008,0.0,0.0
DF,365186.89999999985,0.0,0.0
RN,114628.8300000001,0.0,0.0
MA,155172.11999999997,0.0,0.0
PI,114648.34000000005,0.0,0.0
AC,20861.499999999993,0.0,0.0
GO,365071.7500000009,0.0,0.0
SC,630431.81,0.0,0.0
PE,333181.91999999987,0.0,0.0
TO,69702.51000000004,0.0,0.0
SE,75495.88999999997,0.0,0.0
MT,203414.35999999984,0.0,0.0
PB,151368.0599999999,0.0,0.0
PA,224288.93000000014,0.0,0.0
AM,28465.9,0.0,0.0
ES,335290.500000001,0.0,0.0
AP,16517.39,0.0,0.0
MS,139562.85000000003,0.0,0.0
AL,99479.01000000005,0.0,0.0
CE,289768.7800000004,0.0,0.0
